DayCode,DayDate,Alternaria,Cladosporium,abc
1,Jan 01,"0,00","0,00",0
2,Jan 02,"0,00","0,00",0
3,Jan 03,"0,00","0,00",0
4,Jan 04,"0,00","0,00",0
5,Jan 05,"0,00","0,00",0
6,Jan 06,"0,00","0,00",0
7,Jan 07,"0,00","0,00",0
8,Jan 08,"0,00","0,00",0
9,Jan 09,"0,00","0,00",0
10,Jan 10,"0,00","0,00",0
11,Jan 11,"0,00","0,00",0
12,Jan 12,"0,00","0,00",0
13,Jan 13,"0,00","0,00",0
14,Jan 14,"0,00","0,00",0
15,Jan 15,"0,00","0,00",0
16,Jan 16,"0,00","0,00",0
17,Jan 17,"0,00","0,00",0
18,Jan 18,"0,00","0,00",0
19,Jan 19,"0,00","0,93","4,6296296296"
20,Jan 20,"1,85","48,15","9,2592592593"
21,Jan 21,"4,63","28,70","10,1851851852"
22,Jan 22,"0,93","28,70","2,7777777778"
23,Jan 23,"3,70","24,07","6,0515873016"
24,Jan 24,"3,70","10,19","6,0515873016"
25,Jan 25,"0,00","36,11","11,1111111111"
26,Jan 26,"0,93","25,93","6,0515873016"
27,Jan 27,"3,70","37,96","5,5555555556"
28,Jan 28,"0,93","25,93","5,5555555556"
29,Jan 29,"3,70","54,63","9,2592592593"
30,Jan 30,"1,85","25,00","15,3108465608"
31,Jan 31,"2,78","32,41","11,1111111111"
32,Feb 01,"3,70","176,85","16,2367724868"
33,Feb 02,"6,48","183,33","15,8068783069"
34,Feb 03,"0,93","219,44","22,7182539683"
35,Feb 04,"7,41","437,04","10,7473544974"
36,Feb 05,"3,70","547,22","25,1322751323"
37,Feb 06,"16,67","644,44","30,5555555556"
38,Feb 07,"1,85","52,78","106,4814814815"
39,Feb 08,"3,70","558,33","22,7182539683"
40,Feb 09,"10,19","354,63","30,1917989418"
41,Feb 10,"5,56","98,15","15,3108465608"
42,Feb 11,"6,48","112,96","4,6296296296"
43,Feb 12,"5,56","226,85","16,6666666667"
44,Feb 13,"13,89","98,15","9,2592592593"
45,Feb 14,"5,56","63,89","10,6812169312"
46,Feb 15,"8,33","66,67","10,7473544974"
47,Feb 16,"9,26","72,22","7,4074074074"
48,Feb 17,"0,93","32,41","8,3333333333"
49,Feb 18,"0,00","60,19","5,1256613757"
50,Feb 19,"0,93","84,26","56,4814814815"
51,Feb 20,"8,33","239,81","22,2883597884"
52,Feb 21,"0,93","112,96","16,6666666667"
53,Feb 22,"2,78","150,00","12,5330687831"
54,Feb 23,"1,85","47,22","9,2592592593"
55,Feb 24,"4,63","64,81","13,8888888889"
56,Feb 25,"5,56","200,93","28,7037037037"
57,Feb 26,"0,93","97,22","58,8293650794"
58,Feb 27,"10,19","295,37","51,421957672"
59,Feb 28,"10,19","561,11","72,2883597884"
60,Mar 01,"22,22","684,26","121,4285714286"
61,Mar 02,"25,00","199,07","54,332010582"
62,Mar 03,"12,96","120,37","61,2433862434"
63,Mar 04,"10,19","301,85","43,5846560847"
64,Mar 05,"10,19","237,96","42,6587301587"
65,Mar 06,"11,11","131,48","84,2592592593"
66,Mar 07,"16,67","271,30","70,8664021164"
67,Mar 08,"2,78","114,81","241,2367724868"
68,Mar 09,"0,00","422,22","244,4444444444"
69,Mar 10,"1,85","162,96","220,8664021164"
70,Mar 11,"21,30","925,00","231,0515873016"
71,Mar 12,"17,59","460,19","69,0145502646"
72,Mar 13,"1,85","215,74","50,9259259259"
73,Mar 14,"4,63","253,70","59,7552910053"
74,Mar 15,"1,85","364,81","73,1481481481"
75,Mar 16,"3,70","279,63","67,5925925926"
76,Mar 17,"6,48","168,52","35,1851851852"
77,Mar 18,"6,48","175,93","54,6296296296"
78,Mar 19,"7,41","163,89","79,2658730159"
79,Mar 20,"4,63","131,48","98,2142857143"
80,Mar 21,"4,63","119,44","38,955026455"
81,Mar 22,"6,48","112,96","56,4814814815"
82,Mar 23,"8,33","159,26","40,7407407407"
83,Mar 24,"11,11","128,70","70,3703703704"
84,Mar 25,"2,78","83,33","19,4444444444"
85,Mar 26,"1,85","68,52","24,0740740741"
86,Mar 27,"0,93","44,44","272,7182539683"
87,Mar 28,"7,41","206,48","109,2592592593"
88,Mar 29,"16,67","175,93","56,9775132275"
89,Mar 30,"6,48","137,96","33,8293650794"
90,Mar 31,"6,48","168,52","150,1322751323"
91,Apr 01,"4,63","140,74","95,8664021164"
92,Apr 02,"11,11","166,67","60,1851851852"
93,Apr 03,"14,81","165,74","28,7037037037"
94,Apr 04,"8,33","164,81","39,8148148148"
95,Apr 05,"12,04","225,00","134,4576719577"
96,Apr 06,"22,22","295,37","76,421957672"
97,Apr 07,"22,22","274,07","32,4074074074"
98,Apr 08,"9,26","107,41","21,2962962963"
99,Apr 09,"4,63","137,96","42,5925925926"
100,Apr 10,"7,41","177,78","55,1256613757"
101,Apr 11,"17,59","195,37","98,6441798942"
102,Apr 12,"25,93","248,15","132,4074074074"
103,Apr 13,"20,37","214,81","212,5330687831"
104,Apr 14,"16,67","213,89","100,496031746"
105,Apr 15,"20,37","236,11","80,1256613757"
106,Apr 16,"20,37","260,19","326,917989418"
107,Apr 17,"18,52","449,07","309,8214285714"
108,Apr 18,"12,96","195,37","70,3703703704"
109,Apr 19,"36,11","281,48","208,8293650794"
110,Apr 20,"7,41","119,44","64,8148148148"
111,Apr 21,"0,93","42,59","7,4074074074"
112,Apr 22,"0,00","44,44","12,962962963"
113,Apr 23,"0,00","29,63","3,7037037037"
114,Apr 24,"1,85","36,11","35,1851851852"
115,Apr 25,"6,48","70,37","52,3478835979"
116,Apr 26,"12,04","104,63","102,7777777778"
117,Apr 27,"20,37","200,00","112,962962963"
118,Apr 28,"16,67","161,11","85,1851851852"
119,Apr 29,"17,59","87,96","150,9259259259"
120,Apr 30,"16,67","143,52","409,2592592593"
121,May 01,"10,19","358,33","145,3703703704"
122,May 02,"26,85","419,44","103,7037037037"
123,May 03,"4,63","153,70","29,6296296296"
124,May 04,"4,63","107,41",25
125,May 05,"12,04","114,81","46,2962962963"
126,May 06,"5,56","68,52","31,4814814815"
127,May 07,"1,85","98,15","44,4444444444"
128,May 08,"10,19","124,07","96,8474426808"
129,May 09,"2,78","68,52","69,069664903"
130,May 10,"3,70","179,63","123,6992945326"
131,May 11,"4,63","236,11","238,139329806"
132,May 12,"13,89","415,74","98,6992945326"
133,May 13,"25,93","553,70","149,8015873016"
134,May 14,"3,70","99,07","19,4444444444"
135,May 15,"37,96","398,15","214,0652557319"
136,May 16,"7,41","212,04","511,1111111111"
137,May 17,"19,44","1255,56","555,1807760141"
138,May 18,"25,93","1359,26","307,9585537919"
139,May 19,"25,93","336,11","101,8518518519"
140,May 20,"15,74","392,59","62,037037037"
141,May 21,"14,81","521,30","200,496031746"
142,May 22,"102,78","2438,89","235,8134920635"
143,May 23,"62,04","1250,00","204,828042328"
144,May 24,"95,37","1419,44","194,0145502646"
145,May 25,"75,93","3278,70","245,9325396825"
146,May 26,"22,22","827,78","726,421957672"
147,May 27,"32,41","3027,78","558,0357142857"
148,May 28,"55,56","5423,15","516,7989417989"
149,May 29,"206,48","6695,37","581,3492063492"
150,May 30,"225,93","3821,30","582,2420634921"
151,May 31,"493,52","4476,85","526,917989418"
152,Jun 01,"201,85","2284,26","312,7314814815"
153,Jun 02,"47,22","780,56","105,6216931217"
154,Jun 03,"12,96","350,93","102,3478835979"
155,Jun 04,"31,48","670,37","254,1997354497"
156,Jun 05,"15,74","634,26","125,9259259259"
157,Jun 06,"125,93","1564,81","150,1322751323"
158,Jun 07,"137,96","1655,56","178,4060846561"
159,Jun 08,"134,26","1183,33","275,0661375661"
160,Jun 09,"101,85","789,81","194,0806878307"
161,Jun 10,"57,41","676,85","142,2288359788"
162,Jun 11,"28,70","443,52","250,9920634921"
163,Jun 12,"42,59","945,37","91,6666666667"
164,Jun 13,"32,41","317,59","53,2738095238"
165,Jun 14,"22,22","268,52","52,7777777778"
166,Jun 15,"25,00","468,52","50,496031746"
167,Jun 16,"66,67","599,07","144,0145502646"
168,Jun 17,"58,33","525,00","102,9761904762"
169,Jun 18,"12,04","188,89","41,2367724868"
170,Jun 19,"70,37","379,63","125,1322751323"
171,Jun 20,"44,44","823,15","116,2367724868"
172,Jun 21,"19,44","365,74","66,2367724868"
173,Jun 22,"12,04","231,48","31,4814814815"
174,Jun 23,"12,04","180,56","32,4074074074"
175,Jun 24,"13,89","116,67","32,9034391534"
176,Jun 25,"16,67","150,00","56,0515873016"
177,Jun 26,"29,63","425,93","64,8148148148"
178,Jun 27,"16,67","149,07","51,8518518519"
179,Jun 28,"6,48","260,19","62,962962963"
180,Jun 29,"26,85","251,85","28,7037037037"
181,Jun 30,"6,48","125,00","50,9259259259"
182,Jul 01,"12,04","117,59","27,7777777778"
183,Jul 02,"9,26","85,19","19,4444444444"
184,Jul 03,"88,89","447,22","118,5846560847"
185,Jul 04,"125,00","1191,67","146,4947089947"
186,Jul 05,"44,44","362,96","81,6137566138"
187,Jul 06,"31,48","476,85","93,5185185185"
188,Jul 07,"23,15","357,41","52,7777777778"
189,Jul 08,"25,93","278,70","39,3849206349"
190,Jul 09,"36,11","239,81","52,7777777778"
191,Jul 10,"69,44","622,22","74,2063492063"
192,Jul 11,"95,37","855,56","80,6878306878"
193,Jul 12,"60,19","252,78","68,5846560847"
194,Jul 13,"22,22","171,30","33,8293650794"
195,Jul 14,"23,15","189,81","35,6812169312"
196,Jul 15,"21,30","122,22","179,6296296296"
197,Jul 16,"18,52","235,19","262,962962963"
198,Jul 17,"9,26","161,11","131,0515873016"
199,Jul 18,"32,41","636,11","125,0661375661"
200,Jul 19,"312,96","2256,48","153,9682539683"
201,Jul 20,"82,41","501,85","81,1177248677"
202,Jul 21,"47,22","293,52","60,6812169312"
203,Jul 22,"37,04","278,70","37,962962963"
204,Jul 23,"22,22","301,85","54,1997354497"
205,Jul 24,"35,19","264,81","25,9259259259"
206,Jul 25,"30,56","228,70","37,962962963"
207,Jul 26,"45,37","224,07","46,7923280423"
208,Jul 27,"14,81","125,00","40,7407407407"
209,Jul 28,"3,70","65,74","7,4074074074"
210,Jul 29,"0,00","53,70","8,3333333333"
211,Jul 30,"1,85","69,44","6,9775132275"
212,Jul 31,"78,70","659,26","96,7923280423"
213,Aug 01,"30,56","231,48","54,6296296296"
214,Aug 02,"16,67","166,67","25,9259259259"
215,Aug 03,"15,74","121,30","22,2222222222"
216,Aug 04,"2,78","84,26","23,1481481481"
217,Aug 05,"11,11","79,63","14,8148148148"
218,Aug 06,"5,56","81,48","36,6071428571"
219,Aug 07,"12,96","116,67","15,3108465608"
