DayCode,DayDate,Alternaria,Cladosporium
1,1-Jan,"0,00","0,00"
2,2-Jan,"0,00","0,00"
3,3-Jan,"0,00","0,00"
4,4-Jan,"0,00","0,00"
5,5-Jan,"0,00","0,00"
6,6-Jan,"0,00","0,00"
7,7-Jan,"0,00","0,00"
8,8-Jan,"0,00","0,00"
9,9-Jan,"0,00","0,00"
10,10-Jan,"0,00","0,00"
11,11-Jan,"0,00","0,00"
12,12-Jan,"0,00","0,00"
13,13-Jan,"0,00","0,00"
14,14-Jan,"0,00","0,00"
15,15-Jan,"0,00","0,00"
16,16-Jan,"0,00","0,00"
17,17-Jan,"0,00","0,00"
18,18-Jan,"0,00","0,00"
19,19-Jan,"0,00","0,93"
20,20-Jan,"1,85","48,15"
21,21-Jan,"4,63","28,70"
22,22-Jan,"0,93","28,70"
23,23-Jan,"3,70","24,07"
24,24-Jan,"3,70","10,19"
25,25-Jan,"0,00","36,11"
26,26-Jan,"0,93","25,93"
27,27-Jan,"3,70","37,96"
28,28-Jan,"0,93","25,93"
29,29-Jan,"3,70","54,63"
30,30-Jan,"1,85","25,00"
31,31-Jan,"2,78","32,41"
32,1-Feb,"3,70","176,85"
33,2-Feb,"6,48","183,33"
34,3-Feb,"0,93","219,44"
35,4-Feb,"7,41","437,04"
36,5-Feb,"3,70","547,22"
37,6-Feb,"16,67","644,44"
38,7-Feb,"1,85","52,78"
39,8-Feb,"3,70","558,33"
40,9-Feb,"10,19","354,63"
41,10-Feb,"5,56","98,15"
42,11-Feb,"6,48","112,96"
43,12-Feb,"5,56","226,85"
44,13-Feb,"13,89","98,15"
45,14-Feb,"5,56","63,89"
46,15-Feb,"8,33","66,67"
47,16-Feb,"9,26","72,22"
48,17-Feb,"0,93","32,41"
49,18-Feb,"0,00","60,19"
50,19-Feb,"0,93","84,26"
51,20-Feb,"8,33","239,81"
52,21-Feb,"0,93","112,96"
53,22-Feb,"2,78","150,00"
54,23-Feb,"1,85","47,22"
55,24-Feb,"4,63","64,81"
56,25-Feb,"5,56","200,93"
57,26-Feb,"0,93","97,22"
58,27-Feb,"10,19","295,37"
59,28-Feb,"10,19","561,11"
60,1-Mar,"22,22","684,26"
61,2-Mar,"25,00","199,07"
62,3-Mar,"12,96","120,37"
63,4-Mar,"10,19","301,85"
64,5-Mar,"10,19","237,96"
65,6-Mar,"11,11","131,48"
66,7-Mar,"16,67","271,30"
67,8-Mar,"2,78","114,81"
68,9-Mar,"0,00","422,22"
69,10-Mar,"1,85","162,96"
70,11-Mar,"21,30","925,00"
71,12-Mar,"17,59","460,19"
72,13-Mar,"1,85","215,74"
73,14-Mar,"4,63","253,70"
74,15-Mar,"1,85","364,81"
75,16-Mar,"3,70","279,63"
76,17-Mar,"6,48","168,52"
77,18-Mar,"6,48","175,93"
78,19-Mar,"7,41","163,89"
79,20-Mar,"4,63","131,48"
80,21-Mar,"4,63","119,44"
81,22-Mar,"6,48","112,96"
82,23-Mar,"8,33","159,26"
83,24-Mar,"11,11","128,70"
84,25-Mar,"2,78","83,33"
85,26-Mar,"1,85","68,52"
86,27-Mar,"0,93","44,44"
87,28-Mar,"7,41","206,48"
88,29-Mar,"16,67","175,93"
89,30-Mar,"6,48","137,96"
90,31-Mar,"6,48","168,52"
91,1-Apr,"4,63","140,74"
92,2-Apr,"11,11","166,67"
93,3-Apr,"14,81","165,74"
94,4-Apr,"8,33","164,81"
95,5-Apr,"12,04","225,00"
96,6-Apr,"22,22","295,37"
97,7-Apr,"22,22","274,07"
98,8-Apr,"9,26","107,41"
99,9-Apr,"4,63","137,96"
100,10-Apr,"7,41","177,78"
101,11-Apr,"17,59","195,37"
102,12-Apr,"25,93","248,15"
103,13-Apr,"20,37","214,81"
104,14-Apr,"16,67","213,89"
105,15-Apr,"20,37","236,11"
106,16-Apr,"20,37","260,19"
107,17-Apr,"18,52","449,07"
108,18-Apr,"12,96","195,37"
109,19-Apr,"36,11","281,48"
110,20-Apr,"7,41","119,44"
111,21-Apr,"0,93","42,59"
112,22-Apr,"0,00","44,44"
113,23-Apr,"0,00","29,63"
114,24-Apr,"1,85","36,11"
115,25-Apr,"6,48","70,37"
116,26-Apr,"12,04","104,63"
117,27-Apr,"20,37","200,00"
118,28-Apr,"16,67","161,11"
119,29-Apr,"17,59","87,96"
120,30-Apr,"16,67","143,52"
121,1-May,"10,19","358,33"
122,2-May,"26,85","419,44"
123,3-May,"4,63","153,70"
124,4-May,"4,63","107,41"
125,5-May,"12,04","114,81"
126,6-May,"5,56","68,52"
127,7-May,"1,85","98,15"
128,8-May,"10,19","124,07"
129,9-May,"2,78","68,52"
130,10-May,"3,70","179,63"
131,11-May,"4,63","236,11"
132,12-May,"13,89","415,74"
133,13-May,"25,93","553,70"
134,14-May,"3,70","99,07"
135,15-May,"37,96","398,15"
136,16-May,"7,41","212,04"
137,17-May,"19,44","1255,56"
138,18-May,"25,93","1359,26"
139,19-May,"25,93","336,11"
140,20-May,"15,74","392,59"
141,21-May,"14,81","521,30"
142,22-May,"102,78","2438,89"
143,23-May,"62,04","1250,00"
144,24-May,"95,37","1419,44"
145,25-May,"75,93","3278,70"
146,26-May,"22,22","827,78"
147,27-May,"32,41","3027,78"
148,28-May,"55,56","5423,15"
149,29-May,"206,48","6695,37"
150,30-May,"225,93","3821,30"
151,31-May,"493,52","4476,85"
152,1-Jun,"201,85","2284,26"
153,2-Jun,"47,22","780,56"
154,3-Jun,"12,96","350,93"
155,4-Jun,"31,48","670,37"
156,5-Jun,"15,74","634,26"
157,6-Jun,"125,93","1564,81"
158,7-Jun,"137,96","1655,56"
159,8-Jun,"134,26","1183,33"
160,9-Jun,"101,85","789,81"
161,10-Jun,"57,41","676,85"
162,11-Jun,"28,70","443,52"
163,12-Jun,"42,59","945,37"
164,13-Jun,"32,41","317,59"
165,14-Jun,"22,22","268,52"
166,15-Jun,"25,00","468,52"
167,16-Jun,"66,67","599,07"
168,17-Jun,"58,33","525,00"
169,18-Jun,"12,04","188,89"
170,19-Jun,"70,37","379,63"
171,20-Jun,"44,44","823,15"
172,21-Jun,"19,44","365,74"
173,22-Jun,"12,04","231,48"
174,23-Jun,"12,04","180,56"
175,24-Jun,"13,89","116,67"
176,25-Jun,"16,67","150,00"
177,26-Jun,"29,63","425,93"
178,27-Jun,"16,67","149,07"
179,28-Jun,"6,48","260,19"
180,29-Jun,"26,85","251,85"
181,30-Jun,"6,48","125,00"
182,1-Jul,"12,04","117,59"
183,2-Jul,"9,26","85,19"
184,3-Jul,"88,89","447,22"
185,4-Jul,"125,00","1191,67"
186,5-Jul,"44,44","362,96"
187,6-Jul,"31,48","476,85"
188,7-Jul,"23,15","357,41"
189,8-Jul,"25,93","278,70"
190,9-Jul,"36,11","239,81"
191,10-Jul,"69,44","622,22"
192,11-Jul,"95,37","855,56"
193,12-Jul,"60,19","252,78"
194,13-Jul,"22,22","171,30"
195,14-Jul,"23,15","189,81"
196,15-Jul,"21,30","122,22"
197,16-Jul,"18,52","235,19"
198,17-Jul,"9,26","161,11"
199,18-Jul,"32,41","636,11"
200,19-Jul,"312,96","2256,48"
201,20-Jul,"82,41","501,85"
202,21-Jul,"47,22","293,52"
203,22-Jul,"37,04","278,70"
204,23-Jul,"22,22","301,85"
205,24-Jul,"35,19","264,81"
206,25-Jul,"30,56","228,70"
207,26-Jul,"45,37","224,07"
208,27-Jul,"14,81","125,00"
209,28-Jul,"3,70","65,74"
210,29-Jul,"0,00","53,70"
211,30-Jul,"1,85","69,44"
212,31-Jul,"78,70","659,26"
213,1-Aug,"30,56","231,48"
214,2-Aug,"16,67","166,67"
215,3-Aug,"15,74","121,30"
216,4-Aug,"2,78","84,26"
217,5-Aug,"11,11","79,63"
218,6-Aug,"5,56","81,48"
219,7-Aug,"12,96","116,67"
220,8-Aug,"5,56","98,15"
221,9-Aug,"12,96","158,33"
222,10-Aug,"4,63","87,04"
223,11-Aug,"19,44","212,04"
224,12-Aug,"3,70","102,78"
225,13-Aug,"4,63","67,59"
226,14-Aug,"8,33","119,44"
227,15-Aug,"30,56","593,52"
228,16-Aug,"9,26","116,67"
229,17-Aug,"12,04","43,52"
230,18-Aug,"7,41","34,26"
231,19-Aug,"3,70","28,70"
232,20-Aug,"4,63","50,00"
233,21-Aug,"34,26","525,00"
234,22-Aug,"120,37","2190,74"
235,23-Aug,"25,93","397,22"
236,24-Aug,"13,89","151,85"
237,25-Aug,"31,48","224,07"
238,26-Aug,"25,93","233,33"
239,27-Aug,"21,30","214,81"
240,28-Aug,"27,78","187,96"
241,29-Aug,"0,00","0,00"
242,30-Aug,"0,00","0,00"
243,31-Aug,"0,00","0,00"
244,1-Sep,"0,00","0,00"
