Name,Ownership,EASTING,NORTHING
Beamish Museum,DCC,422009,554163
Binchester Roman Fort,DCC,420944,531319
Durham Museum and Heritage Centre,Unknown,427469,542163
Killhope Lead Mining Museum,DCC,382571,543127
Living on the Hills (Permanent Exhibition),Durham University,427336,542266
Museum of Archaeology,Durham University,427333,542273
The Bowes Museum,Unknown,405561,516320
"The National Railway Museum, Shildon",DCC / National Railway Museum,423990,525502
The Oriental Museum,Durham University,427035,541094
Vintage Vehicles Museum,Unknown,423486,525655
Weardale Museum and High House Chapel,Unknown,387256,538552
