accessibility,address,coordinates,coordinates_type,data_url,dataset,description,email,external_id,fax_number,house_number,id,image_url,last_updated,latitude,location,longitude,name,opening_times,phone_number,po_box,po_box_number,post_name,post_number,street,url,venue_details
,"IBARRA, EDUARDO, 6","[674863.44, 4611751.5]",Point,,http://ma.tingtun.no/ogd/datasets/meta/10/,,,2822,,,5995,,2015-05-29T11:42:35Z,41.638335420636,,-0.900473950934353,Estadio de Fútbol La Romareda,,,,,,,,http://www.realzaragoza.com/,http://ma.tingtun.no/ogd/datasets/data/venues/5995/
,"NOBLEZA BATURRA, 6","[678685.56, 4613765.0]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,cdunion@hotmail.es,6485,976205060,,835,,2015-05-29T11:42:35Z,41.6556115791523,,-0.854012057659755,Campo Municipal de Fútbol El Rabal,,976205060,,,,,,http://www.unioncd.es,http://ma.tingtun.no/ogd/datasets/data/venues/835/
,"CAMISERA,CARRERA D LA, 35","[672291.75, 4613682.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,cdoliver@cdoliver.com,3027,976328244,,834,,2015-05-29T11:42:35Z,41.6562767111359,,-0.930775535163356,Campo Municipal de Fútbol La Nueva Camisera,,976324533,,,,,,http://www.cdoliver.es,http://ma.tingtun.no/ogd/datasets/data/venues/834/
,"CADENA(MARQUES DE LA), 63","[677584.94, 4615079.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,sangregorioarrabal@yahoo.es,3026,976 472554,,833,,2015-05-29T11:42:35Z,41.6676892968572,,-0.86683088746984,Campo Municipal de Fútbol La Azucarera,,976 472554,,,,,,http://www.sangregorioarrabal.com,http://ma.tingtun.no/ogd/datasets/data/venues/833/
,"ANGELES, MNTR NT SRA, 1","[673340.06, 4612442.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,presidente@cddelicias.es,6506,,,832,,2015-05-29T11:42:35Z,41.6448878528211,,-0.918552773230256,Campo Municipal de Fútbol Delicias,,976914008,,,,,,http://www.cddelicias.es,http://ma.tingtun.no/ogd/datasets/data/venues/832/
,"BURGOS            CST, 5","[663633.75, 4620506.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,udcasetas@telefonica.net,6505,976770494,,831,,2015-05-29T11:42:35Z,41.7195298851233,,-1.03282658360584,Campo Municipal de Fútbol San Miguel,,976774778,,,,,,http://www.udcasetas.com,http://ma.tingtun.no/ogd/datasets/data/venues/831/
,"VIA LACTEA, S/N","[673003.06, 4611677.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,cdvaldefierro@gmail.com,2845,976 753688,,830,,2015-05-29T11:42:35Z,41.6380750480045,,-0.922818113869046,Campo Municipal de Fútbol Valdefierro,,976 753688,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/830/
,"AMERICA, AVENIDA DE, 115","[676198.25, 4610476.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,cdginertorrero@gmail.com,2843,976 278156,,829,,2015-05-29T11:42:35Z,41.626565251015,,-0.884833173074246,Campo Municipal de Fútbol Torrero,,976 382147,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/829/
,"CAMPOAMOR, CLARA, 34","[675395.5, 4615170.0]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,cdsanandres@hotmail.es,2842,,,828,,2015-05-29T11:42:35Z,41.6689888962487,,-0.893086895693337,Campo Municipal de Fútbol Ranillas,,,,,,,,,http://ma.tingtun.no/ogd/datasets/data/venues/828/
,"CASAÑAL SHAKERY,A.PS., 2","[676998.81, 4615534.5]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,balsas@udbalsaspicarral.es,2841,976 735577,,827,,2015-05-29T11:42:35Z,41.671915166765,,-0.873732053768968,Campo Municipal de Fútbol Picarral,,976 511101,,,,,,http://www.udbalsaspicarral.es,http://ma.tingtun.no/ogd/datasets/data/venues/827/
,"PETRONILA (REINA), S/N","[672818.74, 4613123.08]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,at.escalerillas@hotmail.es,2840,976 311212,,826,,2015-05-29T11:42:35Z,41.6511271188466,,-0.924612085551114,Campo Municipal de Fútbol Parque Oliver,,976 311212,,,,,,http://www.atleticoescalerillas.es/,http://ma.tingtun.no/ogd/datasets/data/venues/826/
,"LEGAZ LACAMBRA, LUIS, 36","[675141.56, 4616165.0]",utm30T,https://www.zaragoza.es/sede/servicio/equipamiento/category/,http://ma.tingtun.no/ogd/datasets/meta/10/,,acturpabloiglesias@gmail.com,2839,976 523856,,825,,2015-05-29T11:42:35Z,41.6780008523995,,-0.895843545980747,Campo Municipal de Fútbol Actur,,976 523856,,,,,,http://www.acturpabloiglesias.es,http://ma.tingtun.no/ogd/datasets/data/venues/825/
